address_street,city,state,county,violation_type,violation_subtype,status,date_opened,latitude,longitude
625 PROBASCO ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Closed - No Violation,2026-05-06T00:00:00.000,39.1333632417172,-84.5276752778583
2363 BALTIMORE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1517568913964,-84.5626314234058
4629 GLENWAY AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-06T00:00:00.000,39.1144926349556,-84.592434937313
6 BURTON AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1492381107315,-84.4815514263443
3738 RIVER RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.0785531050948,-84.5966939261266
8372 MACE AV,Cincinnati,OH,Hamilton,Abandoned Vehicle Code Enforcement,JUNK VEH ON PRIVATE PROP,Orders Issued,2026-05-06T00:00:00.000,39.2148903944594,-84.4677185217573
3 FOREST AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.145711932276,-84.4949986997927
131 W 66TH ST,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1913925683011,-84.4877305868148
4239 CHAMBERS ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.164655605012,-84.5343884304717
1617 GLEN PARKER AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,"Recycling, remove cart vacant",Intake - New Case,2026-05-06T00:00:00.000,39.1704094780851,-84.5415618822074
6468 REVERE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.111018939738,-84.6884617757241
2918 HENSHAW AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Trash, improper set out",Closed - No Violation,2026-05-06T00:00:00.000,39.1354388824935,-84.5357012298438
4 DAYTON ST,Cincinnati,OH,Hamilton,Code Enforcement - Demolitions,HOUSING CODE VIOLATION,Case Voided,2026-05-06T00:00:00.000,39.1183406628745,-84.5246932104882
5 CENTRAL AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1034246520042,-84.5209506076928
3384 KATHY LN,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1349432776147,-84.6177884360468
1888 SUNNYBROOK DR,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.2071341777816,-84.4519872522732
1816 SECTION RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.1975987845687,-84.4565717428518
1675 STATE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1171362579922,-84.5480676415906
948 KIRBERT AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1089740348267,-84.575237482636
6816 GRACELY DR,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.116746770585,-84.6956453589712
4935 WESTERN HILLS AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.121186311297,-84.6031689645673
435 W SEYMOUR AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-06T00:00:00.000,39.1955783997197,-84.4889854760085
27 QUEEN CITY AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1343537787499,-84.598252085419
35 BOGART AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,TREE ON PRIV PROP STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.147312914926,-84.4916512134367
29 QUEEN CITY AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1349201879012,-84.5982160920019
8359 MACE AV,Cincinnati,OH,Hamilton,Abandoned Vehicle Code Enforcement,JUNK VEH ON PRIVATE PROP,Closed - No Violation,2026-05-06T00:00:00.000,39.2142374704443,-84.4684874817202
5719 LESTER RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1765174392684,-84.4318825044941
17 PULTE ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1367510958268,-84.5520878788045
31 WASSON RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1443063473933,-84.4262715528751
2325 IROLL AV,Cincinnati,OH,Hamilton,Abandoned Vehicle Code Enforcement,JUNK VEH ON PRIVATE PROP,Notice of Violation,2026-05-06T00:00:00.000,39.1506272061389,-84.5634553787627
6753 GRACELY DR,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1153784768092,-84.6952395131604
2322 FERGUSON RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1283010352486,-84.5971723254785
14 ROSS AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1170258899135,-84.5720447621568
7467 GRACELY DR,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1295374493257,-84.7054633379572
17 DREMAN AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1532535353125,-84.5490070683385
3596 HILLSIDE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-06T00:00:00.000,39.0825017765221,-84.5905004902916
8 HUTCHINS AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1452486259841,-84.4893567183178
936 OLIVE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1090338038543,-84.5732792931882
6 RIDDLE RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.1360201346041,-84.5266657652482
5625 GLENWAY AV,Cincinnati,OH,Hamilton,Code Enforcement - Commercial Buildings,COMM CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1330222661593,-84.6109318052694
862 ROCKDALE AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,"Recycling, remove cart vacant",Orders Issued,2026-05-06T00:00:00.000,39.1442180036907,-84.4871585835184
1524 GILPIN AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1331239150158,-84.4774617797737
1425 BEECH AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1197118637555,-84.5769540120375
1714 MONTEREY CT,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1759153270588,-84.5476707625305
1836 SUNSET AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.123983865552,-84.5810115041948
4335 HILLSIDE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.0781645540508,-84.6221014604166
1612 CREST HILL AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.2050077921724,-84.4592030945284
1822 SECTION RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.1976250273441,-84.4563183542878
61 BRACKEN WOODS LN,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1429659296522,-84.5838164228088
447 ELBERON AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.099382160195,-84.5670241568852
21 W 8TH ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Dumping, prv prop <2500 sq ft",Intake - New Case,2026-05-06T00:00:00.000,39.104774362944,-84.5510457608275
448 KLOTTER AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1225233799498,-84.527676524071
8361 MACE AV,Cincinnati,OH,Hamilton,Abandoned Vehicle Code Enforcement,Access to Veh Undr 511.31,Notice of Violation,2026-05-06T00:00:00.000,39.2144006290808,-84.4682590555565
626 GREENWOOD AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,"Recycling, remove cart vacant",Intake - New Case,2026-05-06T00:00:00.000,39.153320706638,-84.4928372775257
6623 VINE ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-06T00:00:00.000,39.190786523771,-84.4841490306124
4913 SHIRLEY PL,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1262967423385,-84.6016892773693
4419 RIDGEVIEW AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1095453022167,-84.5958375762565
3181 SAFFER ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.143815452941,-84.5693533408346
695 PEDRETTI AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-06T00:00:00.000,39.1073061436724,-84.5987671333654
5474 RIVER RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.0974988915264,-84.6560448004664
749 WILBUD DR,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1060314429105,-84.5922572666155
48 COLERAIN AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1383190618522,-84.537463249238
2355 FLORA ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-06T00:00:00.000,39.1267364621208,-84.5246810756817
9 LILLIAN DR,Cincinnati,OH,Hamilton,Code Enforcement - Commercial Buildings,COMM CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1771599789807,-84.4629677455366
2141 CLIFTON AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Trash, improper set out",Intake - New Case,2026-05-06T00:00:00.000,39.1222977923906,-84.5206221146865
3435 GREENLAWN AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1412684403796,-84.473977317524
30 RAMONA AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Closed - Transferred to another Agency,2026-05-06T00:00:00.000,39.143208848351,-84.6054853926677
5933 KENNETH AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Trash, improper set out",Intake - New Case,2026-05-06T00:00:00.000,39.1992933531979,-84.539810590283
1335 LAUREL PARK DR,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1097598250857,-84.5266493900639
