address_street,city,state,county,violation_type,status,date_opened,case_id,parcel
"8707 DETROIT 9, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Not Needed,2026-05-01,V26016741,00131052
"12705 CORNADO AVE AVE, CLEVELAND, OH, 44108",Cleveland,OH,Cuyahoga,,,2026-05-01,V26016840,11112088
"31 VILLA BEACH DR, CLEVELAND, OH, 44110",Cleveland,OH,Cuyahoga,,,2026-05-01,V26016821,11214003
"474 N EDDY, CLEVELAND, OH, 44108",Cleveland,OH,Cuyahoga,,,2026-05-01,V26016838,11106164
"4336 W 150TH ST, CLEVELAND, OH, 44135",Cleveland,OH,Cuyahoga,Exterior Maintenance,Violation Notice Rvw Approved,2026-05-01,V26016697,12317186
"716 E 160TH ST, CLEVELAND, OH, 44110",Cleveland,OH,Cuyahoga,,,2026-05-01,V26016815,11614062
"10216 CHAMPION AVE, CLEVELAND, OH, 44111",Cleveland,OH,Cuyahoga,,Violation Notice Rvw Approved,2026-05-01,V26016780,01713144
"8707 DETROIT 4, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Not Needed,2026-05-01,V26016738,
"8707 DETROIT AVE 1, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Violation Notice Rvw Approved,2026-05-01,V26016733,00131043
"2717 TATE AVE, CLEVELAND, OH, 44109",Cleveland,OH,Cuyahoga,,Violation Notice Rvw Approved,2026-05-01,V26016769,01104039
"11000 MOUNT OVERLOOK AVE, CLEVELAND, OH, 44104",Cleveland,OH,Cuyahoga,,,2026-05-01,V26016732,12132087
"8707 DETROIT 3, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Not Needed,2026-05-01,V26016737,00131055
"1129 E 147TH ST, CLEVELAND, OH, 44110",Cleveland,OH,Cuyahoga,Exterior Maintenance,Violation Notice Rvw Approved,2026-05-01,V26016698,11514098
"8707 DETROIT 8, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Not Needed,2026-05-01,V26016740,00131050
"8707 DETROIT 15, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,VN Created/Mailed,2026-05-01,V26016701,00131051
"8707 DETROIT 2, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Not Needed,2026-05-01,V26016736,00131042
"1123 E 147TH ST, CLEVELAND, OH, 44110",Cleveland,OH,Cuyahoga,Exterior Maintenance,Violation Notice Rvw Approved,2026-05-01,V26016672,11514100
"8707 DETROIT 16, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,VN Created/Mailed,2026-05-01,V26016710,00131047
"8707 DETROIT AVE 13, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Violation Notice Rvw Approved,2026-05-01,V26016696,00131046
"12800 DOVE AVE, CLEVELAND, OH, 44105",Cleveland,OH,Cuyahoga,,Violation Notice Rvw Approved,2026-05-01,V26016768,13804006
"4608 W 148TH ST, CLEVELAND, OH, 44135",Cleveland,OH,Cuyahoga,,Violation Notice Rvw Approved,2026-05-01,V26016820,02316110
"1166 E 148TH ST, CLEVELAND, OH, 44110",Cleveland,OH,Cuyahoga,Exterior Maintenance,Violation Notice Rvw Approved,2026-05-01,V26016666,11514135
"1214 E 81ST ST, CLEVELAND, OH, 44103",Cleveland,OH,Cuyahoga,,,2026-05-01,V26016673,10708059
"1145 E 147TH ST, CLEVELAND, OH, 44110",Cleveland,OH,Cuyahoga,Exterior Maintenance,Violation Notice Rvw Approved,2026-05-01,V26016709,11514094
"8707 DETROIT 6, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Not Needed,2026-05-01,V26016739,00131058
"3039 E 128TH ST, CLEVELAND, OH, 44120",Cleveland,OH,Cuyahoga,,Violation Notice Rvw Approved,2026-05-01,V26016655,12925078
"14817 TERMINAL AVE, CLEVELAND, OH, 44135",Cleveland,OH,Cuyahoga,,,2026-05-01,V26016729,02303017
"10640 ST CLAIR, CLEVELAND, OH, 44108",Cleveland,OH,Cuyahoga,,Violation Notice Rvw Approved,2026-05-01,V26016767,10828009
"697 E 109TH ST, CLEVELAND, OH, 44108",Cleveland,OH,Cuyahoga,,Violation Notice Rvw Approved,2026-05-01,V26016799,10829039
"3644 BOSWORTH RD, CLEVELAND, OH, 44111",Cleveland,OH,Cuyahoga,,,2026-05-01,V26016771,01903009
"8707 DETROIT 14, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,VN Created/Mailed,2026-05-01,V26016700,00131054
"8707 DETROIT AVE 7, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Violation Notice Rvw Approved,2026-05-01,V26016725,00131057
"3052 E 128TH ST, CLEVELAND, OH, 44120",Cleveland,OH,Cuyahoga,,,2026-05-01,V26016674,12925083
"9804 EMPIRE AVE, CLEVELAND, OH, 44108",Cleveland,OH,Cuyahoga,,Violation Notice Rvw Approved,2026-05-01,V26016794,10821106
"11602 ABLEWHITE AVE, CLEVELAND, OH, 44108",Cleveland,OH,Cuyahoga,,,2026-05-01,V26016809,11107107
"1153 E 147TH ST, CLEVELAND, OH, 44110",Cleveland,OH,Cuyahoga,Exterior Maintenance,Violation Notice Rvw Approved,2026-05-01,V26016717,11514092
"4920 MEAD AVE, CLEVELAND, OH, 44127",Cleveland,OH,Cuyahoga,,,2026-05-01,V26016662,12322025
"1089 E 147TH ST, CLEVELAND, OH, 44110",Cleveland,OH,Cuyahoga,Exterior Maintenance,Violation Notice Rvw Approved,2026-05-01,V26016667,11514109
"8707 DETROIT AVE 10, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Violation Notice Rvw Approved,2026-05-01,V26016730,00131053
"8707 DETROIT 11, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Not Needed,2026-05-01,V26016742,00131049
"8707 DETROIT 12, CLEVELAND, OH, 44102",Cleveland,OH,Cuyahoga,Condemnation - Main Structure,Not Needed,2026-05-01,V26016743,00131048
