address_street,city,state,county,violation_type,status,date_opened,case_id,latitude,longitude
1420 NW 21ST ST,Fort Worth,TX,Tarrant,Zoning - Commercial,Open,2026-05-07,26-735357,32.783013033121605,-97.36529386443351
2420 ALLOWAY DR,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735356,32.70030696069807,-97.29478361446581
4229 TRUELAND DR,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735355,32.70214805923152,-97.28262373158303
1933 GREENFIELD AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735354,32.77253332341903,-97.32019138443754
3408 CONWAY ST,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735352,32.76778055997819,-97.2990125620437
4218 J AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735351,32.726420269400165,-97.26048319553412
1828 PORTLAND ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735349,32.77304503947298,-97.3230327007431
3621 RENZEL BLVD,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735347,32.71940354447629,-97.47467429881537
2112 BROOKES ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735346,32.72374517394844,-97.29048773671464
4237 TRUELAND DR,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735345,32.70184342090858,-97.28275784410685
2009 MISSOURI AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735343,32.72316246162505,-97.31911373314479
1804 PORTLAND ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735342,32.77261970157335,-97.32389572175987
9221 WOOD COVERT WAY,Fort Worth,TX,Tarrant,Zoning - Residential,Open,2026-05-07,26-735341,32.90205086830559,-97.37279796488566
4613 QUAILS LN,Fort Worth,TX,Tarrant,Substandard Building,Open,2026-05-07,26-735340,32.7054578632431,-97.25525262096538
508 MARION AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735339,32.71618331049876,-97.32268986739221
2509 PEARL AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735338,32.7906664780215,-97.36288372051642
4032 ARAGON DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735336,32.648435966850265,-97.37995392229404
7345 BOAT CLUB RD,Fort Worth,TX,Tarrant,Zoning - Commercial,Open,2026-05-07,26-735331,32.869759954854096,-97.42660429776473
1717 E TUCKER ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735330,32.73954999291219,-97.30391162045422
8216 STOVEPIPE DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735329,32.87096605532189,-97.39543070247295
1813 GLENMORE AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735328,32.77192305524616,-97.32305333088325
2904 RATON DR,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735327,32.732440145620934,-97.4481459902691
5124 EASTLAND ST,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735325,32.70610306601432,-97.24412815211994
1731 E TUCKER ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735324,32.739547174469536,-97.3032613063103
4921 CAMP BOWIE BLVD,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735323,32.73733310803599,-97.39426317707338
5124 VIRGIL ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735322,32.70710783005056,-97.24625916873626
609 ELMWOOD AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735321,32.725460729146164,-97.3220016632593
3653 GALVEZ AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735320,32.762528673676044,-97.29471349119729
2937 FITZHUGH AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735318,32.71737821853054,-97.28210461302783
1001 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735317,32.7754371961729,-97.33324005471877
3500 PALADIN PL,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735316,32.86370272805012,-97.30690957472065
1005 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735314,32.77544712407107,-97.33307392173386
704 E JEFFERSON AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735313,32.724081816359316,-97.32149162079162
2929 FITZHUGH AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735311,32.71738140900554,-97.28259428768611
705 E JEFFERSON AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735310,32.72461516094311,-97.32146305304767
708 E JEFFERSON AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735308,32.724082807361754,-97.32133067285014
1412 GLEN GARDEN DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735307,32.71024929428048,-97.30668056580032
2917 FITZHUGH AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735306,32.717384493902614,-97.28291929516573
3631 GALVEZ AVE,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735305,32.7625266724293,-97.29553003512085
2913 SIERRA DR,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735304,32.732165740351235,-97.44852520479868
1451 SANDY LN,Fort Worth,TX,Tarrant,Zoning - Residential,Open,2026-05-07,26-735303,32.75711647891943,-97.19814898176388
2040 BROOKES ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735301,32.723866999666534,-97.29056490141248
3140 CHILDRESS ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735300,32.70110540147026,-97.28178391381361
3144 CHILDRESS ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735299,32.701105743310215,-97.28152682256476
2036 BROOKES ST,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735298,32.72399175812795,-97.29064127559356
205 SHEFFIELD DR,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735295,32.64339936457575,-97.32558290486597
2909 FITZHUGH AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735294,32.71738884204693,-97.28324449388413
5100 MEYERS LN,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735292,32.90880647511081,-97.27461371880588
7124 WAGONWHEEL RD,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735291,32.63888513889084,-97.3581628942459
4936 MCCAULEY DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735288,32.9089129406107,-97.27665384270249
2904 FITZHUGH AVE,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735287,32.7168736829555,-97.28339768539871
